Wall time,Step,Value
1500388607.620046,2254,0.6875
1500388608.9544299,2257,0.7421875
1500388611.1958299,2262,0.78125
1500388616.6058724,2274,0.796875
1500388618.3867433,2278,0.8203125
1500388619.72983,2281,0.796875
1500388624.197324,2291,0.8359375
1500388626.9272938,2297,0.796875
1500388627.373914,2298,0.75
1500388628.2573712,2300,0.828125
1500388629.6029658,2303,0.7734375
1500388630.9519787,2306,0.8046875
1500388631.398546,2307,0.8359375
1500388631.8518794,2308,0.84375
1500388636.6224997,2318,0.78125
1500388637.078364,2319,0.7265625
1500388637.526958,2320,0.7109375
1500388638.4276319,2322,0.796875
1500388643.8263905,2334,0.7265625
1500388644.273552,2335,0.796875
1500388644.739992,2336,0.8125
1500388645.2662213,2337,0.765625
1500388648.9457982,2345,0.8671875
1500388653.136455,2354,0.8359375
1500388664.6590106,2371,0.7109375
1500388671.1988573,2385,0.7578125
1500388673.0659504,2389,0.71875
1500388673.5233839,2390,0.7265625
1500388674.4423277,2392,0.75
1500388678.1285594,2400,0.78125
1500388679.051082,2402,0.734375
1500388680.8727233,2406,0.7578125
1500388685.5215077,2416,0.71875
1500388689.2197995,2424,0.859375
1500388689.691331,2425,0.7734375
1500388694.7888243,2436,0.7890625
1500388698.5631752,2444,0.671875
1500388701.3385458,2450,0.78125
1500388701.8061736,2451,0.78125
1500388702.7332096,2453,0.7421875
1500388703.6538935,2455,0.7421875
1500388705.9852073,2460,0.84375
1500388714.8564756,2479,0.78125
1500388717.6412308,2485,0.703125
1500388718.1035686,2486,0.859375
1500388722.7934182,2496,0.7578125
1500388723.7301238,2498,0.8125
1500388725.1327512,2501,0.7578125
1500388725.6155674,2502,0.8203125
1500388726.078275,2503,0.734375
1500388731.330813,2514,0.8671875
1500388732.7222886,2517,0.8046875
1500388735.5394137,2523,0.859375
1500388737.8739936,2528,0.78125
1500388738.8239381,2530,0.8203125
1500388739.7738671,2532,0.8046875
1500388740.6310847,2534,0.7857142686843872
1500388749.6955264,2543,0.8359375
1500388751.5798533,2547,0.796875
1500388753.4775996,2551,0.71875
1500388754.4290726,2553,0.8046875
1500388755.8732383,2556,0.8125
1500388760.2472749,2565,0.765625
1500388760.7309287,2566,0.7890625
1500388765.608627,2576,0.7578125
1500388766.5809202,2578,0.75
1500388772.9736857,2590,0.765625
1500388773.4650486,2591,0.765625
1500388773.9614449,2592,0.7265625
1500388774.4538007,2593,0.8515625
1500388775.9156806,2596,0.765625
1500388777.9043498,2600,0.7890625
1500388780.8616045,2606,0.8046875
1500388781.355012,2607,0.7265625
1500388782.83245,2610,0.734375
1500388786.7808208,2618,0.703125
1500388789.4484575,2623,0.7265625
1500388790.927394,2626,0.7890625
1500388792.4312737,2629,0.8515625
1500388792.933395,2630,0.7421875
1500388795.9024787,2636,0.7421875
1500388796.8946612,2638,0.8203125
1500388799.8985019,2644,0.8359375
1500388801.5401764,2647,0.7109375
1500388803.1796482,2650,0.8125
1500388805.655357,2655,0.875
1500388815.3849273,2674,0.8203125
1500388817.380157,2678,0.78125
1500388818.4256163,2680,0.8046875
1500388821.028181,2685,0.8359375
